Date,total_trades,total_volume,win_rate,avg_closedPnL,avg_size,avg_execution_price,timestamp,value,classification,sentiment_num
2023-05-01,3,476.99280999999996,0.0,0.0,0.08376666666666666,1898.1333333333332,1682919000,63,Greed,1.0
2023-12-05,9,50005.82917,0.0,0.0,1.3121122222222223,11038.3,1701754200,75,Extreme Greed,1.0
2023-12-14,11,113203.34547,0.36363636363636365,-18.675885181818188,372.0262736363636,8031.868818181818,1702531800,72,Greed,1.0
2023-12-15,2,10609.956,0.0,-12.316016999999999,1779.0,2.982,1702618200,70,Greed,1.0
2023-12-16,3,15348.76138,0.0,0.0,13299.0,0.3847066666666667,1702704600,67,Greed,1.0
2023-12-17,14,116278.018081,0.5,21.78448464285714,6160.460614285715,802.5418592857143,1702791000,73,Greed,1.0
2023-12-18,2,31164.1856,0.0,0.0,7.153,2178.1000000000004,1702877400,65,Greed,1.0
2023-12-19,15,91602.41239,0.6666666666666666,66.70257413333334,10769.753733333333,447.8019113333333,1702963800,73,Greed,1.0
2023-12-20,18,141636.78283,0.4444444444444444,9.040682333333333,9695.566666666668,6.722871666666666,1703050200,74,Greed,1.0
2023-12-21,49,125233.97907,0.5306122448979592,10.963498000000001,27.84285714285714,91.84020408163265,1703136600,70,Greed,1.0
2023-12-22,10,88874.27747,0.2,14.1832675,245.07491,30692.8325,1703223000,74,Greed,1.0
2023-12-23,13,78438.24836,0.6153846153846154,11.302823384615383,10897.33846153846,3.0702846153846153,1703309400,70,Greed,1.0
2023-12-24,39,402954.92766,0.38461538461538464,25.862050153846155,7299.543489230769,13680.54118025641,1703395800,71,Greed,1.0
2023-12-25,3,59948.50502,0.0,-81.69378266666666,8.793733333333334,2275.4,1703482200,73,Greed,1.0
2023-12-27,28,171411.03608,0.14285714285714285,-25.174615249999995,16269.285714285714,0.37319214285714286,1703655000,73,Greed,1.0
2023-12-28,23,100117.24515,0.0,-42.20569026086957,11467.478260869566,0.4032943478260869,1703741400,73,Greed,1.0
2023-12-29,50,569559.70558,0.3,10.178442859999999,316.8720516,3836.17816,1703827800,65,Greed,1.0
2023-12-30,52,702550.20174,0.4423076923076923,6.826897076923077,3046.1517753846156,13421.615271153847,1703914200,68,Greed,1.0
2024-01-01,18,264239.51261,0.05555555555555555,-7.196192222222223,232.15481333333335,10373.330666666667,1704087000,65,Greed,1.0
2024-01-02,17,121348.72987200001,0.47058823529411764,46.11641858823529,12248.13852117647,10199.892598764705,1704173400,71,Greed,1.0
2024-01-03,67,394499.36837399995,0.417910447761194,12.925604582089552,962.718319402985,738.8837898507463,1704259800,70,Greed,1.0
2024-01-04,5,99792.53588000001,0.0,-13.520728,9.01916,2212.62,1704346200,68,Greed,1.0
2024-01-05,66,1703942.66731,0.19696969696969696,2.486993409090909,3.815267575757576,30495.46818181818,1704432600,72,Greed,1.0
2024-01-06,22,298521.41284,0.45454545454545453,6.16280290909091,321.7012109090909,6586.107318181818,1704519000,70,Greed,1.0
2024-01-07,97,1048850.051251,0.09278350515463918,-8.615270463917525,1702.9125883505153,7513.911021649485,1704605400,71,Greed,1.0
2024-01-08,128,1522452.47911,0.25,-2.1083940546875,844.6860564843751,15078.63093734375,1704691800,71,Greed,1.0
2024-01-09,70,870051.9215299999,0.2571428571428571,-11.804998042857143,1847.9473097142857,14127.109546714286,1704778200,76,Extreme Greed,1.0
2024-01-10,193,2057479.485642,0.21243523316062177,-7.860576901554404,1037.8364329533679,12914.76879230052,1704864600,73,Greed,1.0
2024-01-11,21,305314.08634,0.23809523809523808,-7.813785761904761,40.30665333333333,12141.70542857143,1704951000,76,Extreme Greed,1.0
2024-01-12,7,200082.27383999998,0.0,-275.0741462857143,220.32562000000001,39774.47142857143,1705037400,71,Greed,1.0
2024-01-15,14,50636.080449999994,0.6428571428571429,10.918112857142857,0.10228000000000001,16738.085714285717,1705296600,52,Neutral,0.5
2024-01-16,9,116427.3314,0.3333333333333333,-255.4634953333333,289.79784666666666,19105.61008888889,1705383000,64,Greed,1.0
2024-01-17,53,800831.0522700001,0.20754716981132076,15.344794547169812,76.50986150943396,20112.302,1705469400,60,Greed,1.0
2024-01-18,46,424631.50679,0.06521739130434782,1.4985476086956522,2.0375169565217393,24363.11304347826,1705555800,63,Greed,1.0
2024-01-19,48,428428.961,0.125,-8.029567395833334,36.55703333333333,14421.93125,1705642200,51,Neutral,0.5
2024-01-20,106,1070090.53039,0.14150943396226415,-1.3827817924528305,2420.192043962264,14671.724672933962,1705728600,52,Neutral,0.5
2024-01-21,11,103129.73894400001,0.2727272727272727,24.234649636363642,4022.930484545455,19141.940333454546,1705815000,56,Greed,1.0
2024-01-22,85,337878.99275000003,0.27058823529411763,16.18401128235294,1846.7937490588236,6179.383261176471,1705901400,55,Greed,1.0
2024-01-23,45,414518.917112,0.24444444444444444,-8.20543844444444,1935.7830824444445,11768.913676111111,1705987800,50,Neutral,0.5
2024-01-24,68,965084.596676,0.14705882352941177,-41.29932080882353,708.2411851470588,16861.48394732353,1706074200,48,Neutral,0.5
2024-01-25,6,66566.13906,0.0,-515.6048975,126.13833333333332,87.95416666666667,1706160600,52,Neutral,0.5
2024-01-26,5,11773.211116,0.2,18.04,19053.4,0.1198688,1706247000,49,Neutral,0.5
2024-01-28,11,18109.007999999998,0.0,-225.27906545454545,97.0909090909091,16.956,1706419800,54,Neutral,0.5
2024-01-29,74,414208.23184799997,0.6081081081081081,6.5751694864864865,3210.857934054054,15636.855511594595,1706506200,55,Greed,1.0
